,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
5128,Luka Doncic,Under,-112,52.5,0.011970209746749012,DraftKings,player_points_rebounds_assists,Dallas Mavericks,51.9,51.50496069881976,0.49478019346805635,0.5007745701080882,Los Angeles Clippers,0.98504954843609,7.3684763991238,52.0,2024-05-01
5129,P.J. Washington,Over,-122,17.5,0.09948331484644997,DraftKings,player_points_rebounds_assists,Dallas Mavericks,21.6,19.967655092915624,0.5146796542735605,0.5715381655430414,Los Angeles Clippers,0.98504954843609,8.741091695422133,18.0,2024-05-01
5130,P.J. Washington,Under,102,17.5,-0.13386266742706424,DraftKings,player_points_rebounds_assists,Dallas Mavericks,21.6,19.967655092915624,0.46363773433180666,0.4089011373695573,Los Angeles Clippers,0.98504954843609,8.741091695422133,17.0,2024-05-01
5131,Paul George,Over,100,35.5,-0.09536353043343686,DraftKings,player_points_rebounds_assists,LA Clippers,30.3,31.193879597196037,0.4682741116751247,0.4275056624259053,Los Angeles Clippers,0.98504954843609,13.201471211539438,36.0,2024-05-01
5132,Paul George,Under,-120,35.5,0.08758578775434586,DraftKings,player_points_rebounds_assists,LA Clippers,30.3,31.193879597196037,0.5108444854637724,0.5598822098643889,Los Angeles Clippers,0.98504954843609,13.201471211539438,35.0,2024-05-01
5133,Terance Mann,Over,-112,16.5,0.020851911736530098,DraftKings,player_points_rebounds_assists,LA Clippers,17.2,15.005793386255457,0.49478019346805635,0.505317019354605,Los Angeles Clippers,0.98504954843609,9.658415253399525,17.0,2024-05-01
5134,Terance Mann,Under,-108,16.5,-0.03877920387186872,DraftKings,player_points_rebounds_assists,LA Clippers,17.2,15.005793386255457,0.48628465443186036,0.46813091041803584,Los Angeles Clippers,0.98504954843609,9.658415253399525,16.0,2024-05-01
5135,Kyrie Irving,Over,-122,36.5,0.00029350222249109717,FanDuel,player_points_rebounds_assists,Dallas Mavericks,38.4,37.65084060857604,0.5146796542735605,0.5148307582453123,Los Angeles Clippers,0.98504954843609,9.076475191532065,37.0,2024-05-01
5136,Kyrie Irving,Under,-104,36.5,-0.006044752066831188,FanDuel,player_points_rebounds_assists,Dallas Mavericks,38.4,37.65084060857604,0.4774559570020879,0.4745871950737741,Los Angeles Clippers,0.98504954843609,9.076475191532065,36.0,2024-05-01
5137,Russell Westbrook,Over,-102,16.5,0.15159685536327877,FanDuel,player_points_rebounds_assists,LA Clippers,19.8,19.38895794526614,0.4729104890184428,0.5574124660051076,Los Angeles Clippers,0.98504954843609,11.583958975079815,17.0,2024-05-01
5138,Russell Westbrook,Under,-125,16.5,-0.23204462050308602,FanDuel,player_points_rebounds_assists,LA Clippers,19.8,19.38895794526614,0.5203045685279164,0.42230984159929064,Los Angeles Clippers,0.98504954843609,11.583958975079815,16.0,2024-05-01
