,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
339,Miles Bridges,Charlotte Hornets,SF,198,388,78,182,420.5,20,24,616.7,22,67,327.5,14,74,88,28,20,9,21,4,-58,314,286,226,116,517.219954648526,134.24489795918367,28.775510204081634,22.122448979591837,1132.0226757369614,981.1383219954649,643.7777777777777,187.3469387755102,10
340,Miles McBride,New York Knicks,PG,94,254,36,82,530.0,5,6,266.7,17,43,353.0,6,11,17,27,19,10,4,2,-35,138,111,121,44,213.16049382716045,12.456790123456791,104.94444444444446,18.10493827160494,513.8827160493827,283.12345679012344,421.7345679012346,139.58641975308643,10
341,Mo Bamba,Philadelphia 76ers,C,36,142,14,36,301.7,5,8,125.0,3,9,116.7,13,34,47,9,19,1,10,11,-8,92,83,45,56,114.8476454293629,48.30193905817175,8.933518005540167,4.18005540166205,223.2853185595568,237.34349030470915,105.5540166204986,52.470914127423825,10
342,Monte Morris,Minnesota Timberwolves,PG,53,154,20,52,431.1,5,7,275.0,8,21,341.6,3,12,15,30,4,6,2,1,20,98,68,83,45,94.96539792387543,18.57785467128028,41.46020761245674,4.048442906574394,216.318339100346,127.59861591695503,158.72318339100343,85.0,10
343,Moritz Wagner,Orlando Magic,C,115,178,43,64,656.0,26,29,643.1,3,9,233.3,15,35,50,11,18,7,13,2,57,176,165,126,61,347.2675736961451,65.83673469387756,5.117913832199546,2.111111111111111,560.4444444444445,597.0226757369614,321.4240362811791,60.219954648526084,10
344,Moses Brown,Portland Trail Blazers,C,13,28,6,10,233.3,1,3,33.3,0,0,0.0,4,5,9,2,4,0,2,1,7,24,22,15,11,15.280000000000001,8.120000000000001,2.880000000000001,0.0,7.880000000000003,12.52,10.320000000000002,11.32,3
345,Moses Moody,Golden State Warriors,SG,79,189,32,74,453.8,6,8,250.0,9,32,242.1,13,28,41,5,10,8,7,5,51,125,120,84,46,212.1349480968858,50.916955017301035,2.577854671280277,19.27681660899654,329.07612456747404,309.8477508650519,228.43598615916954,56.42214532871972,10
346,Mouhamadou Gueye,Toronto Raptors,F,2,6,1,3,33.3,0,0,0.0,0,0,0.0,2,1,3,0,1,0,0,2,4,5,5,2,3,1.0,0.25,0.0,0.0,2.25,2.25,1.0,0.25,1
347,Moussa Diabate,LA Clippers,F,2,7,1,1,100.0,0,2,0.0,0,0,0.0,1,3,4,0,0,1,0,1,1,6,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
348,Myles Turner,Indiana Pacers,C,181,271,64,114,577.1,40,49,726.7,13,40,313.0,16,63,79,11,28,6,17,16,2,271,260,192,90,419.401384083045,66.13494809688581,12.958477508650518,14.141868512110726,509.4359861591695,452.1660899653979,487.57785467128025,68.18685121107266,10
349,Naji Marshall,New Orleans Pelicans,SF,68,204,27,49,407.5,2,3,150.0,12,25,391.6,8,33,41,20,11,9,12,4,60,129,109,88,61,363.6640625,53.7265625,18.15625,13.7890625,393.15625,398.125,339.4140625,91.1640625,10
350,Nassir Little,Phoenix Suns,SF,9,50,3,12,133.3,0,0,0.0,3,8,200.0,0,10,10,3,6,0,1,2,-8,22,19,12,13,13.078125,5.953125,3.453125,1.453125,22.828125,23.25,13.25,8.8125,5
351,Nate Hinton,Houston Rockets,G,10,15,3,5,60.0,2,3,66.7,2,3,66.7,1,2,3,2,2,1,0,1,13,15,13,12,5,43.559999999999995,4.840000000000001,1.44,1.9599999999999997,100.0,77.44000000000001,60.839999999999996,11.559999999999999,1
352,Nathan Mensah,Charlotte Hornets,C,4,45,2,5,66.7,0,0,0.0,0,0,0.0,4,4,8,0,8,1,1,2,-10,12,12,4,8,12.88888888888889,7.555555555555557,0.0,0.0,40.0,40.0,12.88888888888889,7.555555555555557,5
353,Naz Reid,Minnesota Timberwolves,C,145,269,50,111,446.7,24,31,587.5,21,49,438.7,16,48,64,14,24,6,13,11,16,223,209,159,78,746.5661157024792,55.27685950413223,8.466942148760332,44.90082644628099,741.6074380165289,660.7190082644628,805.7768595041323,85.42148760330578,10
